Full Market Value,Land Assessed Value,MostRecentSalePrice,MostRecentSaleDate,PropertyType,BuildingStyle,YearBuilt,RoomCounts,nbhd,LotSize(acr)
"$160,000","$34,600",160000,9/9/2024,1 Family Res,Manuf'd Housing,1999,3 / 2,Rural,5.6
"$164,000","$30,400",138500,9/9/2023,1 Family Res,Ranch,1957,3 / 1,Rural,1.4
"$8,300","$8,300",90000,9/9/2022,Res vac land,,,,Vill/Norwood,0.16
"$141,000","$20,900",84000,9/9/2019,1 Family Res,Old style,1900,3 / 1,Res Old #2,0.21
"$185,000","$37,100",114000,9/9/2019,1 Family Res,Old style,1900,2 / 2,Rural,8.1
"$425,000","$171,400",335000,9/9/2016,Lumber yd/ml,Commercial,1978,,Commercial,3.14
"$251,000","$32,600",127700,9/9/2011,1 Family Res,Split level,1956,5 / 2.1,Res New,0.39
"$22,300","$5,600",35000,9/9/2009,Mfg housing,,,,Union Hew Siss,0.51
"$95,200","$95,200",79164,9/9/2008,Field crops,,,,Pot outskirts,38.6
"$140,000","$35,800",36500,9/9/2004,Converted Res,Commercial,1960,,Commercial,0.57
"$70,000","$13,500",42000,9/8/2022,1 Family Res,Old style,1920,2 / 2,Vill/Norwood,0.3
"$200,000","$21,800",125000,9/8/2022,2 Family Res,Old style,1887,8 / 2.2,Res Old #2,0.22
"$87,000","$21,200",77000,9/8/2022,1 Family Res,Old style,1900,2 / 1,Rural,0.49
"$363,000","$75,800",61500,9/8/2015,Rural res,Other style,2015,4 / 2,Rural,82.6
"$488,000","$71,000",25500,9/8/1999,Rural res,Colonial,2001,4 / 2.1,Rural New,33
"$284,000","$62,500",135000,9/8/1998,Rural res,Colonial,1960,4 / 2.1,Rural,55.3
"$263,000","$39,800",250000,9/7/2023,1 Family Res,Ranch,1951,3 / 1.1,Res New,0.59
"$234,000","$38,000",223000,9/7/2023,1 Family Res,Old style,1850,3 / 1.1,Res Old #2,1.3
"$138,000","$16,400",150000,9/7/2023,1 Family Res,Old style,1900,3 / 1.1,Res Old #2,0.16
"$30,800","$23,700",40000,9/7/2023,Vac w/imprv,,,,Rural,9.7
"$151,000","$53,900",125000,9/7/2023,1 Family Res,Log home,1999,2 / 1,Rural New,4.9
"$357,800","$109,500",460000,9/7/2022,1 Family Res,Contemporary,2004,3 / 2.1,Water/Nor Lake,3
"$206,000","$24,500",185000,9/7/2022,1 Family Res,Old style,1890,4 / 1.1,Res Old #2,0.25
"$300,000","$80,400",182000,9/7/2018,1 Family Res,Raised ranch,1970,4 / 2.1,Water/Nor Lake,3.9
"$19,700","$19,700",3059,9/7/1999,Rural vac<10,,,,Rural,5.7
"$175,000","$18,200",175000,9/6/2024,1 Family Res,Old style,1924,3 / 2,Res Old #2,90
"$188,000","$20,000",179000,9/6/2023,1 Family Res,Old style,1934,4 / 1,Res Old #2,0.2
"$368,000","$37,400",250000,9/6/2012,1 Family Res,Old style,1914,4 / 2.2,Res Old #2,0.95
"$179,000","$43,300",60000,9/6/2012,Rural res,Old style,1900,2 / 1,Rural,17.5
"$106,000","$13,500",106000,9/5/2024,2 Family Res,Old style,1860,4 / 2,Vill/Norwood,83
"$290,000","$57,700",290000,9/5/2024,1 Family Res,Colonial,2004,4 / 2.1,Rural New,8.7
"$82,000","$8,000",10000,9/5/2019,1 Family Res,Old style,1900,2 / 1,Pot outskirts,0.11
"$123,000","$123,000",45000,9/5/2017,Vac farmland,,,,Rural,59.2
"$20,500","$20,500",195000,9/5/2014,Res vac land,,,,Res New,0.35
"$195,000","$30,000",186000,9/4/2023,1 Family Res,Old style,1870,4 / 1,Rural,1
"$122,000","$34,100",55000,9/4/2021,1 Family Res,Old style,1910,4 / 1.1,Vill/Norwood,2.6
"$148,000","$31,700",131000,9/4/2019,1 Family Res,Manuf'd Housing,2003,3 / 2,Rural,2.7
"$138,000","$20,000",89500,9/4/2014,2 Family Res,Old style,1910,9 / 3,Res Old #2,0.2
"$102,500","$90,200",60000,9/4/2014,Vac w/imprv,,,,Rural New,117.1
"$47,000","$13,800",20000,9/4/2013,1 Family Res,Old style,1873,3 / 1,Vill/Norwood,0.31
"$160,000","$25,000",33000,9/4/2009,Converted Res,Commercial,1920,,Comm Old,0.16
"$284,000","$33,000",244000,9/30/2021,1 Family Res,Old style,1910,4 / 1.1,Res Old #2,0.58
"$35,500","$35,500",30000,9/30/2020,Vacant rural,,,,Rural,26.9
"$170,000","$12,400",70000,9/30/2015,3 Family Res,Old style,1900,4 / 3,Res Old #1,0.15
"$725,000","$188,900",55000,9/30/1999,Motel,Commercial,1954,,Commercial,23.1
"$234,000","$31,400",192000,9/3/2021,1 Family Res,Split level,1954,4 / 3,Pot outskirts,0.82
"$360,000","$150,000",20000,9/3/1998,Other Storage,Commercial,1999,,Commercial,11.53
"$168,000","$15,500",147500,9/29/2021,1 Family Res,Old style,1925,4 / 1.1,Res Old #2,0.15
